0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_35.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_38.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_39.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_41.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_40.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_42.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_43.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_45.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:18 +0900] "GET /LibOutcomesWeb/img/pic_44.png HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:31 +0900] "GET /LibOutcomesWeb/DataScienceReference HTTP/1.1" 200 105038
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:31 +0900] "GET /LibOutcomesWeb/assets/css/liboutcomes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:31 +0900] "GET /LibOutcomesWeb/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:31 +0900] "GET /LibOutcomesWeb/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:31 +0900] "GET /LibOutcomesWeb/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:31 +0900] "GET /LibOutcomesWeb/assets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:15:31 +0900] "GET /LibOutcomesWeb/assets/js/public/loginFunction.js HTTP/1.1" 304 -
